policy_id,inception_date,expiry_date,exposure_years,vehicle_age_years,vehicle_make,vehicle_segment,cubic_capacity,idv_inr,ncb_pct,policyholder_age,policyholder_gender,region,prior_claims_3y,claim_count,claim_amount_inr,fraud_flag
ABC-MOT-000001,2024-06-17,2025-06-17,0.5425,12,Maruti,SUV,1916,247793,35,47,M,Tier2,0,0,0.0,0
ABC-MOT-000002,2024-04-05,2025-04-05,0.7425,12,Hyundai,Hatchback,815,200000,50,36,M,Tier2,0,0,0.0,0
ABC-MOT-000003,2024-07-25,2025-07-25,0.4384,12,Toyota,Hatchback,1182,200000,20,53,M,Tier1,0,0,0.0,0
ABC-MOT-000004,2024-03-30,2025-03-30,0.7589,1,Tata,Hatchback,1127,523010,45,43,M,Tier1,0,0,0.0,0
ABC-MOT-000005,2024-06-21,2025-06-21,0.5315,0,Tata,MUV,2199,1084734,25,40,M,Tier3,0,0,0.0,0
ABC-MOT-000006,2024-10-20,2025-10-20,0.2,7,Tata,Hatchback,888,272249,45,37,M,Tier1,0,0,0.0,0
ABC-MOT-000007,2024-09-26,2025-09-26,0.2658,7,Maruti,Hatchback,1171,268874,25,43,M,Tier1,0,0,0.0,0
ABC-MOT-000008,2024-04-12,2025-04-12,0.7233,16,Tata,Sedan,1305,200000,25,49,M,Tier2,0,0,0.0,0
ABC-MOT-000009,2024-03-16,2025-03-16,0.7973,0,Toyota,Hatchback,896,610234,25,46,M,Tier2,0,0,0.0,0
ABC-MOT-000010,2024-01-03,2025-01-02,0.9973,5,Other,MUV,1570,711452,45,34,M,Tier3,0,0,0.0,0
ABC-MOT-000011,2024-05-06,2025-05-06,0.6575,0,Hyundai,Hatchback,915,565093,20,54,M,Tier1,0,0,0.0,0
ABC-MOT-000012,2024-01-08,2025-01-07,0.9836,5,Maruti,SUV,1827,586780,25,47,F,Tier3,0,0,0.0,0
ABC-MOT-000013,2024-02-16,2025-02-15,0.8767,9,Mahindra,SUV,2294,485385,0,44,M,Tier1,1,0,0.0,0
ABC-MOT-000014,2024-12-24,2025-12-24,0.0219,2,Hyundai,SUV,1826,1317339,35,41,M,Tier3,0,0,0.0,0
